epoch,lr-AdamW,step,test_loss,test_top1,test_top3,test_top5,train_loss,train_top1,train_top3,train_top5,val_loss,val_top1,val_top3,val_top5
,0.001,0,,,,,,,,,,,,
0,,5,,,,,,,,,3.044964551925659,4.761904716491699,14.285714149475098,23.809524536132812
0,,5,,,,,3.0511488914489746,4.166666507720947,10.714285850524902,16.071428298950195,,,,
,0.001,6,,,,,,,,,,,,
1,,11,,,,,,,,,3.0447115898132324,4.761904716491699,14.285714149475098,23.809524536132812
1,,11,,,,,3.046445608139038,4.761904716491699,13.095237731933594,22.0238094329834,,,,
,0.001,12,,,,,,,,,,,,
2,,17,,,,,,,,,3.0447275638580322,4.761904716491699,14.285714149475098,23.809524536132812
2,,17,,,,,3.0461854934692383,0.5952380895614624,14.285714149475098,22.0238094329834,,,,
,0.001,18,,,,,,,,,,,,
3,,23,,,,,,,,,3.0446958541870117,4.761904716491699,14.285714149475098,23.809524536132812
3,,23,,,,,3.0457863807678223,4.761904716491699,11.904762268066406,22.0238094329834,,,,
,0.001,24,,,,,,,,,,,,
4,,29,,,,,,,,,3.0446789264678955,4.761904716491699,14.285714149475098,23.809524536132812
4,,29,,,,,3.0450494289398193,5.952381134033203,12.5,23.809524536132812,,,,
,0.001,30,,,,,,,,,,,,
5,,35,,,,,,,,,3.044795036315918,4.761904716491699,14.285714149475098,23.809524536132812
5,,35,,,,,3.045501708984375,2.9761905670166016,15.476190567016602,26.190475463867188,,,,
,0.001,36,,,,,,,,,,,,
6,,41,,,,,,,,,3.0449161529541016,7.142857074737549,14.285714149475098,23.809524536132812
6,,41,,,,,3.045902729034424,3.5714285373687744,15.476190567016602,23.214284896850586,,,,
,0.0005,42,,,,,,,,,,,,
7,,47,,,,,,,,,3.0449109077453613,4.761904716491699,14.285714149475098,23.809524536132812
7,,47,,,,,3.045504331588745,5.952381134033203,14.285714149475098,23.809524536132812,,,,
,0.0005,48,,,,,,,,,,,,
8,,53,,,,,,,,,3.0448691844940186,4.761904716491699,14.285714149475098,23.809524536132812
8,,53,,,,,3.045177698135376,4.761904716491699,13.095237731933594,23.809524536132812,,,,
,0.0005,54,,,,,,,,,,,,
9,,59,,,,,,,,,3.0447773933410645,4.761904716491699,14.285714149475098,28.571428298950195
9,,59,,,,,3.0450780391693115,4.761904716491699,14.285714149475098,23.809524536132812,,,,
,0.0005,60,,,,,,,,,,,,
10,,65,,,,,,,,,3.0447170734405518,4.761904716491699,14.285714149475098,23.809524536132812
10,,65,,,,,3.0449817180633545,4.761904716491699,14.285714149475098,25.595237731933594,,,,
,0.0005,66,,,,,,,,,,,,
11,,71,,,,,,,,,3.044713020324707,4.761904716491699,16.66666603088379,23.809524536132812
11,,71,,,,,3.045250415802002,4.761904716491699,13.095237731933594,25.595237731933594,,,,
,0.0005,72,,,,,,,,,,,,
12,,77,,,,,,,,,3.0447657108306885,4.761904716491699,19.047618865966797,26.190475463867188
12,,77,,,,,3.045520544052124,4.761904716491699,16.071428298950195,20.238094329833984,,,,
,0.00025,78,,,,,,,,,,,,
13,,83,,,,,,,,,3.0447685718536377,4.761904716491699,14.285714149475098,26.190475463867188
13,,83,,,,,3.0449304580688477,4.761904716491699,14.285714149475098,25.0,,,,
,0.00025,84,,,,,,,,,,,,
14,,89,,,,,,,,,3.0447914600372314,4.761904716491699,19.047618865966797,23.809524536132812
14,,89,,,,,3.04498553276062,4.761904716491699,14.880952835083008,26.190475463867188,,,,
,0.00025,90,,,,,,,,,,,,
15,,95,,,,,,,,,3.044839859008789,4.761904716491699,14.285714149475098,23.809524536132812
15,,95,,,,,3.0449562072753906,4.761904716491699,14.285714149475098,23.809524536132812,,,,
,0.00025,96,,,,,,,,,,,,
16,,101,,,,,,,,,3.0448384284973145,4.761904716491699,14.285714149475098,23.809524536132812
16,,101,,,,,3.044985771179199,4.761904716491699,14.285714149475098,24.404762268066406,,,,
,0.00025,102,,,,,,,,,,,,
17,,107,,,,,,,,,3.0448596477508545,4.761904716491699,14.285714149475098,23.809524536132812
17,,107,,,,,3.0449841022491455,4.761904716491699,14.285714149475098,25.0,,,,
,0.00025,108,,,,,,,,,,,,
18,,113,,,,,,,,,3.0448429584503174,4.761904716491699,14.285714149475098,23.809524536132812
18,,113,,,,,3.0452191829681396,4.761904716491699,14.285714149475098,23.809524536132812,,,,
,0.000125,114,,,,,,,,,,,,
19,,119,,,,,,,,,3.04483699798584,4.761904716491699,14.285714149475098,23.809524536132812
19,,119,,,,,3.044755220413208,4.761904716491699,13.690476417541504,27.380952835083008,,,,
,0.000125,120,,,,,,,,,,,,
20,,125,,,,,,,,,3.044830322265625,4.761904716491699,14.285714149475098,23.809524536132812
20,,125,,,,,3.0449154376983643,4.761904716491699,15.476190567016602,23.809524536132812,,,,
,0.000125,126,,,,,,,,,,,,
21,,131,,,,,,,,,3.0448169708251953,4.761904716491699,14.285714149475098,23.809524536132812
21,,131,,,,,3.04484486579895,4.761904716491699,14.285714149475098,23.809524536132812,,,,
,0.000125,132,,,,,,,,,,,,
22,,137,,,,,,,,,3.044790029525757,4.761904716491699,14.285714149475098,23.809524536132812
22,,137,,,,,3.044965982437134,4.761904716491699,14.880952835083008,23.809524536132812,,,,
,0.000125,138,,,,,,,,,,,,
23,,143,,,,,,,,,3.044767141342163,4.761904716491699,14.285714149475098,23.809524536132812
23,,143,,,,,3.0449862480163574,4.761904716491699,14.285714149475098,23.809524536132812,,,,
,0.000125,144,,,,,,,,,,,,
24,,149,,,,,,,,,3.044745445251465,4.761904716491699,14.285714149475098,23.809524536132812
24,,149,,,,,3.04465651512146,4.761904716491699,14.880952835083008,23.809524536132812,,,,
,6.25e-05,150,,,,,,,,,,,,
25,,155,,,,,,,,,3.0447330474853516,4.761904716491699,14.285714149475098,23.809524536132812
25,,155,,,,,3.04471492767334,4.761904716491699,14.285714149475098,23.809524536132812,,,,
,6.25e-05,156,,,,,,,,,,,,
26,,161,,,,,,,,,3.044715166091919,4.761904716491699,14.285714149475098,23.809524536132812
26,,161,,,,,3.044682025909424,4.761904716491699,14.285714149475098,23.809524536132812,,,,
,6.25e-05,162,,,,,,,,,,,,
27,,167,,,,,,,,,3.044701099395752,4.761904716491699,14.285714149475098,23.809524536132812
27,,167,,,,,3.044625759124756,4.761904716491699,14.285714149475098,23.809524536132812,,,,
,6.25e-05,168,,,,,,,,,,,,
28,,173,,,,,,,,,3.044694423675537,4.761904716491699,14.285714149475098,23.809524536132812
28,,173,,,,,3.0447444915771484,4.761904716491699,14.285714149475098,23.809524536132812,,,,
,6.25e-05,174,,,,,,,,,,,,
29,,179,,,,,,,,,3.0446860790252686,4.761904716491699,14.285714149475098,23.809524536132812
29,,179,,,,,3.0447323322296143,4.761904716491699,14.285714149475098,23.809524536132812,,,,
,6.25e-05,180,,,,,,,,,,,,
30,,185,,,,,,,,,3.044670820236206,4.761904716491699,14.285714149475098,23.809524536132812
30,,185,,,,,3.0446159839630127,4.761904716491699,14.880952835083008,23.809524536132812,,,,
,3.125e-05,186,,,,,,,,,,,,
31,,191,,,,,,,,,3.044666051864624,4.761904716491699,14.285714149475098,23.809524536132812
31,,191,,,,,3.044649600982666,4.761904716491699,14.285714149475098,23.809524536132812,,,,
,3.125e-05,192,,,,,,,,,,,,
32,,197,,,,,,,,,3.0446629524230957,4.761904716491699,14.285714149475098,23.809524536132812
32,,197,,,,,3.0446715354919434,4.761904716491699,16.66666603088379,23.809524536132812,,,,
,3.125e-05,198,,,,,,,,,,,,
33,,203,,,,,,,,,3.0446596145629883,4.761904716491699,14.285714149475098,23.809524536132812
33,,203,,,,,3.0446112155914307,4.761904716491699,16.66666603088379,23.809524536132812,,,,
